index,intention_semantic_similarity,intention_conceptual_depth_analysis_before_level,intention_conceptual_depth_analysis_after_level,intention_conceptual_depth_analysis_before_focus,intention_conceptual_depth_analysis_after_focus,intention_conceptual_depth_analysis_change_direction,intention_conceptual_coverage_before_categories,intention_conceptual_coverage_after_categories,intention_conceptual_coverage_maintained_categories,intention_conceptual_coverage_new_categories,intention_conceptual_coverage_lost_categories,intention_evolution_assessment_type,intention_evolution_assessment_description,intention_evolution_assessment_quality_change,intention_key_insights,intention_analysis_type
1,0.4,średni,powierzchowny,koncepcyjny,konkretny,bardziej konkretny,autorytet; wzmacnianie wartości,reklama; wzmacnianie wartości przez autorytet,wzmacnianie wartości,reklama,autorytet,"spłycenie (więcej detali, mniej konceptów)","Annotator przeszedł od identyfikacji intencji związanych z autorytetami do bardziej powierzchownego opisu działań reklamowych. Skupił się na konkretnych efektach, tracąc z oceny głębsze intencje.",-0.5,"Zmiana w kierunku bardziej konkretnych działań reklamowych, ale z utratą głębszego zrozumienia intencji związanych z autorytetami. Annotator skupił się na powierzchownych efektach, co wskazuje na spłycenie analizy.",intention
0,0.4,średni,powierzchowny,koncepcyjny,konkretny,bardziej konkretny,wyróżnienie produktu; ekspertyza,promocja produktu,[],promocja produktu,wyróżnienie produktu; ekspertyza,"spłycenie (więcej detali, mniej konceptów)",Annotator przeszedł od identyfikowania celów związanych z podkreślaniem wyjątkowości i ekspertyzy do opisywania konkretnego działania promocyjnego. Stracił fokus na głębsze intencje.,-0.5,"Wyraźne pogorszenie w analizie intencji - odpowiedź 'After' koncentruje się na konkretnym produkcie, ale nie identyfikuje szerszych celów ani psychologicznych mechanizmów wpływu. Brakuje zrozumienia, dlaczego podkreślenie wyjątkowości i ekspertyzy jest istotne w kontekście wpływu na odbiorców.",intention
2,0.6,średni,powierzchowny,koncepcyjny,konkretny,bardziej konkretny,strategia marketingowa; zwiększenie sprzedaży,zwiększenie sprzedaży; przychody; klienci,zwiększenie sprzedaży,przychody; klienci,strategia marketingowa,"spłycenie (więcej detali, mniej konceptów)","Annotator przeszedł od ogólnej intencji związanej z marketingiem do wymieniania konkretnych rezultatów, co skutkuje utratą szerszego kontekstu strategii.",-0.5,"Annotator skupił się na konkretnych wynikach działań marketingowych, ale stracił z oceny szerszy kontekst intencji i strategii, co prowadzi do spłycenia analizy.",intention
3,0.2,powierzchowny,średni,konkretny,mieszany,bardziej konkretny,[],pragnienie posiadania; wpływ profesjonalistów,[],pragnienie posiadania; wpływ profesjonalistów,[],przeformułowanie,"Annotator przeszedł od ogólnej refleksji do bardziej szczegółowego opisu sytuacji, w której dziewczyna pragnie kupić buty pod wpływem rekomendacji profesjonalistów.",0.4,"Rozwój w zrozumieniu intencji - annotator przeszedł od ogólnej refleksji do konkretnego przykładu, który pokazuje pragnienie i wpływ rekomendacji. Mimo to, nadal brakuje głębszej analizy psychologicznych mechanizmów stojących za tymi intencjami.",intention
4,0.5,powierzchowny,średni,konkretny,koncepcyjny,bardziej koncepcyjny,zakup; konkretne działanie,perswazja; wykorzystanie autorytetu,[],perswazja; wykorzystanie autorytetu,zakup; konkretne działanie,pogłębienie koncepcyjne,"Annotator przeszedł od opisu konkretnego działania (kupno butów) do analizy intencji perswazyjnych, wskazując na wykorzystanie autorytetu w celu zachęcenia do zakupu.",0.7,"Wyraźny rozwój w zrozumieniu intencji - annotator przeszedł od opisu konkretnego działania do analizy psychologicznych mechanizmów wpływu, co wskazuje na głębsze zrozumienie perswazji i jej zastosowania w kontekście marketingowym.",intention
5,0.6,średni,głęboki,koncepcyjny,koncepcyjny,bardziej koncepcyjny,wzmocnienie poczucia własnej wartości; zmiana postaw,wzmocnienie pewności siebie; autentyczność; indywidualizm; odwaga,wzmocnienie poczucia własnej wartości,autentyczność; indywidualizm; odwaga,[],pogłębienie koncepcyjne,"Annotator przeszedł od ogólnych intencji do bardziej szczegółowych i złożonych celów, które obejmują emocjonalne i psychologiczne aspekty wpływu na drugą osobę.",0.7,"Wyraźny rozwój w zrozumieniu intencji - annotator zidentyfikował nie tylko cele związane z podniesieniem poczucia własnej wartości, ale także konkretne działania i emocje, które mogą wspierać autentyczność i indywidualizm. To pokazuje głębsze zrozumienie mechanizmów wpływu społecznego.",intention
6,0.4,średni,powierzchowny,koncepcyjny,konkretny,bardziej konkretny,wzmocnienie pozytywnych cech; ośmieszanie; wpływ na postrzeganie,wpływ na jakość zdjęć,[],wpływ na jakość zdjęć,wzmocnienie pozytywnych cech; ośmieszanie; wpływ na postrzeganie,"spłycenie (więcej detali, mniej konceptów)",Annotator przeszedł od rozważania różnych intencji (pozytywne i negatywne) do skupienia się na konkretnym działaniu związanym z jakością zdjęć. Stracił z oceny szersze konteksty i psychologiczne motywacje.,-0.5,"Zmiana w rozumieniu intencji - annotator przeszedł od analizy złożonych motywacji do opisu konkretnego działania. Brakuje głębszego zrozumienia psychologicznych aspektów wpływu, co wskazuje na spłycenie analizy.",intention
7,0.5,średni,średni,mieszany,mieszany,bez zmian,wsparcie emocjonalne; wartość autentyczności,wsparcie emocjonalne; motywacja do działania; budowanie pewności siebie,wsparcie emocjonalne,motywacja do działania; budowanie pewności siebie,wartość autentyczności,przeformułowanie,"Annotator przeszedł od ogólnych intencji wsparcia do bardziej szczegółowych celów, takich jak poprawa nastroju i budowanie pewności siebie. Zmiana w kierunku bardziej osobistych i emocjonalnych intencji.",0.4,"Rozwój w zrozumieniu intencji - annotator skupił się na emocjonalnych aspektach wsparcia, jednak nieco stracił z oceny wartości autentyczności zdjęć. Nowe intencje są bardziej złożone i osobiste, co wskazuje na głębsze zrozumienie dynamiki wpływu.",intention
8,0.4,średni,głęboki,mieszany,koncepcyjny,bardziej koncepcyjny,estetyka; indywidualizm,wsparcie emocjonalne; wzmacnianie poczucia wartości,[],wsparcie emocjonalne; wzmacnianie poczucia wartości,estetyka; indywidualizm,pogłębienie koncepcyjne,Annotator przeszedł od powierzchownych intencji związanych z estetyką do głębszego zrozumienia wsparcia emocjonalnego i wzmocnienia poczucia wartości u drugiej osoby.,0.7,"Wyraźny rozwój w rozumieniu intencji - annotator zidentyfikował bardziej złożone cele związane z emocjami i wsparciem, co wskazuje na głębsze zrozumienie wpływu społecznego.",intention
9,0.6,powierzchowny,średni,konkretny,koncepcyjny,bardziej koncepcyjny,przekonywanie; wygląd zewnętrzny,wiara w siebie; przekonywanie,przekonywanie,wiara w siebie,wygląd zewnętrzny,pogłębienie koncepcyjne,Annotator przeszedł od opisu konkretnego działania (przekonywanie o wyglądzie) do zrozumienia głębszej intencji związanej z wiarą w siebie koleżanki. To pokazuje rozwój w rozumieniu psychologicznych aspektów wpływu.,0.5,"Rozwój w zrozumieniu intencji - annotator przeszedł od opisu konkretnego działania do identyfikacji głębszej intencji, jaką jest wzmacnianie wiary w siebie. To wskazuje na lepsze zrozumienie psychologicznych mechanizmów wpływu.",intention
