index,reaction_semantic_similarity,reaction_psychological_depth_analysis_before_level,reaction_psychological_depth_analysis_after_level,reaction_psychological_depth_analysis_before_focus,reaction_psychological_depth_analysis_after_focus,reaction_psychological_depth_analysis_change_direction,reaction_reaction_types_analysis_before_types_emocjonalne,reaction_reaction_types_analysis_before_types_kognitywne,reaction_reaction_types_analysis_before_types_behawioralne_manifestacje,reaction_reaction_types_analysis_before_types_zewnętrzne_wyniki,reaction_reaction_types_analysis_after_types_emocjonalne,reaction_reaction_types_analysis_after_types_kognitywne,reaction_reaction_types_analysis_after_types_behawioralne_manifestacje,reaction_reaction_types_analysis_after_types_zewnętrzne_wyniki,reaction_reaction_types_analysis_emotional_granularity_change,reaction_conceptual_coverage_before_categories,reaction_conceptual_coverage_after_categories,reaction_conceptual_coverage_maintained_categories,reaction_conceptual_coverage_new_categories,reaction_conceptual_coverage_lost_categories,reaction_evolution_assessment_type,reaction_evolution_assessment_description,reaction_evolution_assessment_quality_change,reaction_key_insights,reaction_analysis_type
0,0.5,średni,średni,mieszany,mieszany,bez zmian,0,3,0,0,0,3,1,1,"Annotator nie dodał nowych emocji, ale zauważył proces decyzyjny, co wskazuje na rozwój w rozumieniu wpływu społecznego.",przekonania o produkcie; refleksja nad ceną; refleksja nad autorytetami,uleganie wpływowi; refleksja nad słusznością; decyzja o wstrzymaniu zakupu,refleksja nad ceną,uleganie wpływowi; decyzja o wstrzymaniu zakupu,przekonania o produkcie; refleksja nad autorytetami,brak znaczącej zmiany,"Annotator zachował podobny poziom analizy, ale zmienił sposób opisu reakcji, koncentrując się na procesie decyzyjnym.",0.0,"Annotator przeszedł od ogólnych refleksji na temat produktu do bardziej szczegółowego opisu procesu decyzyjnego, jednak nie wprowadził nowych emocji ani głębszej analizy psychologicznej. Zmiana w opisie reakcji sugeruje, że annotator zyskał lepsze zrozumienie dynamiki wpływu społecznego, ale niekoniecznie pogłębił swoje zrozumienie psychologicznych reakcji.",reaction
1,0.3,powierzchowny,średni,behawioralny/zewnętrzny,mieszany,bardziej psychologiczny,0,1,1,0,0,2,1,1,"Annotator przeszedł od prostego pragnienia do bardziej złożonej refleksji, która uwzględnia poszukiwanie alternatyw i decyzję o zakupie w przyszłości, co pokazuje rozwój w rozumieniu procesów myślowych związanych z wpływem społecznym.",pragnienie produktu; konkretne zachowanie (klik),refleksja kognitywna; poszukiwanie alternatyw; decyzja o zakupie,konkretne zachowanie (klik),refleksja kognitywna; poszukiwanie alternatyw; decyzja o zakupie,pragnienie produktu,większa granulacja emocjonalna,"Annotator przeszedł od prostego pragnienia do bardziej złożonej refleksji, która uwzględnia różne aspekty decyzji zakupowej, co pokazuje rozwój w rozumieniu procesów myślowych.",0.6,"Rozwój w zrozumieniu reakcji na wpływ społeczny. Kluczowe zmiany: (1) Zmiana z prostego pragnienia na refleksję, co wskazuje na głębsze przemyślenie decyzji; (2) Ujęcie poszukiwania alternatyw, co pokazuje bardziej złożone myślenie o dostępnych opcjach; (3) Wprowadzenie decyzji o przyszłym zakupie, co wskazuje na rozwój w rozumieniu procesów decyzyjnych.",reaction
2,0.6,średni,średni,psychologiczny,psychologiczny,bez zmian,0,1,0,0,0,1,0,0,"Brak zmiany w granularity emocjonalnej, ponieważ obie odpowiedzi koncentrują się na refleksji kognitywnej bez wyraźnych emocji.",refleksja kognitywna; rozpoznawanie chwytów marketingowych,refleksja kognitywna; analiza technik wpływu,refleksja kognitywna,analiza technik wpływu,rozpoznawanie chwytów marketingowych,brak znaczącej zmiany,"Annotator zachował podobny poziom refleksji kognitywnej, ale przesunął się w kierunku bardziej szczegółowej analizy technik wpływu.",0.0,"Annotator wykazał się zdolnością do refleksji nad technikami wpływu, jednak nie wprowadził znaczących zmian w zrozumieniu emocjonalnym. Zmiana w odpowiedzi wskazuje na rozwój w kierunku bardziej szczegółowej analizy, ale nie na głębsze zrozumienie psychologicznych reakcji.",reaction
3,0.3,powierzchowny,średni,behawioralny/zewnętrzny,mieszany,bardziej psychologiczny,0,0,1,0,1,2,1,0,"Annotator przeszedł od prostego stwierdzenia braku uległości do zauważenia emocji związanych z manipulacją oraz refleksji nad tym, jak łatwo można być przekonanym, co wskazuje na rozwój w rozumieniu psychologicznych reakcji.",brak uległości (zachowanie),emocje związane z manipulacją; refleksja nad wpływem społecznym; zachowanie (śmiech),zachowanie,emocje związane z manipulacją; refleksja nad wpływem społecznym,[],pogłębienie psychologiczne,"Annotator rozwinął swoje zrozumienie reakcji na wpływ społeczny, dodając emocjonalny i refleksyjny kontekst do pierwotnej odpowiedzi. Zmiana z prostego stwierdzenia na bardziej złożoną analizę emocji i myśli związanych z manipulacją.",0.7,"Rozwój w zrozumieniu psychologicznych reakcji na wpływ społeczny. Kluczowe zmiany obejmują dodanie emocji związanych z manipulacją oraz refleksji nad tym, jak łatwo można być przekonanym przez influencerów, co wskazuje na większą świadomość psychologiczną.",reaction
4,0.6,średni,średni,mieszany,mieszany,bez zmian,0,2,1,1,0,2,1,1,"Brak zmiany w zrozumieniu emocjonalnym; obie odpowiedzi koncentrują się na procesach myślowych i decyzjach, ale nie identyfikują wewnętrznych stanów emocjonalnych.",procesy kognitywne (przemyślenie); behawioralne manifestacje (uleganie); zewnętrzne wyniki (zakup),"procesy kognitywne (przemyślenie, decyzja); behawioralne manifestacje (uleganie); zewnętrzne wyniki (zakup)",procesy kognitywne; behawioralne manifestacje; zewnętrzne wyniki,[],[],brak znaczącej zmiany,"Annotator zachował podobny poziom analizy, koncentrując się na procesach myślowych i decyzjach, ale nie wprowadził głębszej analizy emocjonalnej.",0.0,"Annotator nie wykazał znaczącego rozwoju w rozumieniu psychologicznych reakcji na wpływ społeczny. Skupienie na procesach kognitywnych pozostało na tym samym poziomie, a brak identyfikacji emocji wskazuje na potrzebę dalszego rozwoju w zakresie analizy wewnętrznych stanów psychologicznych.",reaction
5,0.5,średni,głęboki,mieszany,psychologiczny,bardziej psychologiczny,2,2,1,1,3,3,2,1,"Annotator przeszedł od ogólnych emocji stresu i zdenerwowania do bardziej złożonego zrozumienia, które obejmuje wątpliwości, lęk związany z oceną innych oraz żartobliwe mechanizmy obronne.","emocje negatywne (stres, zdenerwowanie); procesy kognitywne (opór, rozważanie); konkretne zachowania (zgoda, przełamanie)","emocje negatywne (stres, zdenerwowanie); emocje społeczne (wątpliwość, lęk o ocenę); procesy kognitywne (rozważanie, przyznanie racji); behawioralne manifestacje (przełamanie lęku, żartobliwe przerzucenie odpowiedzialności)",emocje negatywne; procesy kognitywne,"emocje społeczne (wątpliwość, lęk o ocenę); behawioralne manifestacje (żartobliwe przerzucenie odpowiedzialności)",[],pogłębienie psychologiczne,"Annotator znacząco rozwinął zrozumienie psychologicznych reakcji na wpływ społeczny, dodając nowe kategorie emocji i mechanizmów obronnych, co wskazuje na bardziej złożoną analizę wewnętrznych stanów.",0.75,"Rozwój kompetencji annotatora w zakresie analizy reakcji psychologicznych. Kluczowe zmiany obejmują: (1) Zwiększenie złożoności emocjonalnej - od ogólnych emocji do specyficznych wątpliwości i lęków; (2) Wprowadzenie mechanizmów obronnych, takich jak żartobliwe przerzucenie odpowiedzialności; (3) Zmiana w kierunku bardziej psychologicznego zrozumienia reakcji, co wskazuje na głębszą refleksję nad wpływem społecznym.",reaction
6,0.3,powierzchowny,średni,psychologiczny,mieszany,bardziej behawioralny,0,1,0,0,0,1,1,0,"Annotator przeszedł od ogólnego opisu braku pewności siebie do bardziej szczegółowego opisu sytuacji, w której dziewczyna nie była pewna swojego wyglądu na zdjęciach, co wskazuje na lepsze zrozumienie kontekstu emocjonalnego.",brak pewności siebie; wahanie,brak pewności siebie; wahanie; behawioralne manifestacje (niepewność w wyglądzie),brak pewności siebie; wahanie,behawioralne manifestacje (niepewność w wyglądzie),[],większa granulacja emocjonalna,"Annotator dodał kontekst do opisu braku pewności siebie, co wskazuje na lepsze zrozumienie sytuacji, w której ta niepewność się pojawia.",0.5,"Annotator wykazał się większą zdolnością do opisywania sytuacji związanych z brakiem pewności siebie, dodając kontekst dotyczący wyglądu na zdjęciach. To pokazuje rozwój w rozumieniu, jak konkretne sytuacje wpływają na wewnętrzne stany psychiczne.",reaction
7,0.0,powierzchowny,powierzchowny,behawioralny/zewnętrzny,behawioralny/zewnętrzny,bez zmian,0,0,0,0,0,0,0,1,"Brak zmiany w zrozumieniu emocji, ponieważ odpowiedź po prostu opisuje zewnętrzny wynik bez odniesienia do wewnętrznych stanów psychologicznych.",[],zewnętrzne wyniki (wrzucenie zdjęcia),[],zewnętrzne wyniki,[],brak znaczącej zmiany,"Odpowiedź po czasie nie wykazuje głębszego zrozumienia psychologicznych reakcji na wpływ społeczny, a jedynie opisuje zewnętrzny wynik.",-0.5,"Annotator nie rozwinął swojego zrozumienia psychologicznych reakcji na wpływ społeczny. Odpowiedź po czasie koncentruje się na zewnętrznym wyniku, co sugeruje brak refleksji nad wewnętrznymi stanami emocjonalnymi lub kognitywnymi.",reaction
8,0.2,powierzchowny,średni,behawioralny/zewnętrzny,mieszany,bardziej psychologiczny,1,0,0,1,1,1,0,0,"Annotator przeszedł od ogólnych emocji do bardziej złożonego zrozumienia, dodając elementy kognitywne, takie jak niedowierzanie, co wskazuje na rozwój w analizie reakcji psychologicznych.","emocje pozytywne (odwaga, zadowolenie)",emocje (niedowierzanie); procesy kognitywne (sugerowanie się opinią),[],emocje (niedowierzanie); procesy kognitywne (sugerowanie się opinią),emocje pozytywne,zmiana perspektywy,"Annotator przeszedł od opisu prostych emocji do bardziej złożonego zrozumienia wpływu społecznego, dodając elementy kognitywne.",0.5,"Rozwój w analizie reakcji psychologicznych. Kluczowe zmiany: (1) Zmiana z prostych emocji na bardziej złożone procesy kognitywne; (2) Wprowadzenie elementu niedowierzania, co wskazuje na głębsze zrozumienie reakcji na wpływ społeczny.",reaction
9,0.3,średni,powierzchowny,psychologiczny,behawioralny/zewnętrzny,bardziej behawioralny,1,0,0,1,0,1,1,1,"Annotator przeszedł od identyfikacji obaw jako emocji do opisu sytuacji, w której osoba nie miała emocjonalnych reakcji, a jedynie zauważyła brak negatywnych konsekwencji.",emocje (obawy); zewnętrzne wyniki (zdjęcie),kognicja (niewiara); behawioralne manifestacje (dodanie zdjęcia); zewnętrzne wyniki (brak negatywnych konsekwencji),zewnętrzne wyniki,kognicja (niewiara); behawioralne manifestacje (dodanie zdjęcia),emocje (obawy),spłycenie (fokus na zachowania),"Annotator przeszedł od analizy emocjonalnych obaw do opisu sytuacji bez emocji, koncentrując się na zewnętrznych zachowaniach i wynikach.",-0.5,"Rozwój rozumienia przez annotatora wykazuje spłycenie analizy. Zamiast skupić się na wewnętrznych emocjach, takich jak obawy, annotator przeszedł do opisu zewnętrznych zachowań, co wskazuje na mniejsze zrozumienie psychologicznych reakcji.",reaction
